Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2019-08-06,47.122840881347656,47.3787890279519,46.4148006509655,46.957790753154114,143299200
2019-08-07,47.61081314086914,47.73519932999547,46.36218078247986,46.74251147526255,133457600
2019-08-08,48.66090774536133,48.68482942826137,47.6945323451434,47.88828556685008,108038000
2019-08-09,48.25992202758789,48.68491595492223,47.851730305039446,48.33435586806552,98478800
2019-08-12,48.13745880126953,48.51443488116721,47.8181106881789,47.93096316663212,89927600
2019-08-13,50.17599868774414,50.93715015941955,48.13745486807871,48.267116866849314,188874000
2019-08-14,48.682518005371094,49.56852841372435,48.644099355992225,48.780964420477915,146189600
2019-08-15,48.44001007080078,49.256386268391125,47.94297838198592,48.85300141700887,108909600
2019-08-16,49.58293533325195,49.74140951677776,48.944239015747925,49.04988847143179,110481600
2019-08-19,50.507362365722656,51.078824190677665,50.43052506876509,50.57218971325113,97654400
2019-08-20,50.50975036621094,51.22768357887078,50.500147538234934,50.634609112717676,107537200
2019-08-21,51.057220458984375,51.299731333447795,50.80750654514709,51.14126080341854,86141600
2019-08-22,51.01399230957031,51.48941113488219,50.603400826025755,51.18927233994728,89014800
2019-08-23,48.65610122680664,50.91554700309597,48.2623192659155,50.28645358396467,187272000
2019-08-26,49.580535888671875,49.74861290398016,49.23717515529538,49.429264742992345,104174400
2019-08-27,49.02107238769531,50.07515974076012,48.86980125519638,49.90948253160488,103493200
2019-08-28,49.35002517700195,49.39564686397116,48.81938179356974,49.0066681246404,63755200
2019-08-29,50.18561935424805,50.260056872342915,49.62136047132866,50.06316401304191,83962000
2019-08-30,50.120784759521484,50.53137262674945,49.75101166966507,50.46174203034494,84573600
2019-09-03,49.39083480834961,49.69817661292459,49.035471533772906,49.56611482256738,80092000
2019-09-04,50.22883605957031,50.2984666588224,49.77982952447207,50.03674646797927,76752400
2019-09-05,51.21088790893555,51.3765651308316,50.7858902958723,50.90354603728645,95654800
2019-09-06,51.206085205078125,51.4846149241543,51.02600190350711,51.39577500112992,77449200
2019-09-09,51.424583435058594,51.96963654756328,50.68024137405337,51.58545739982879,109237600
2019-09-10,52.032066345214844,52.05127566981013,50.833914491991756,51.3501518092004,127111600
2019-09-11,53.686424255371094,53.715240070323695,52.27937347467052,52.361014009265396,177158400
2019-09-12,53.566383361816406,54.36595374868243,53.51115883577232,53.97697494678176,128906800
2019-09-13,52.524295806884766,53.014120770564304,52.10890468762575,52.82443464006696,159053200
2019-09-16,52.80042266845703,52.855650852329696,52.238563645662204,52.27938208778277,84632400
2019-09-17,52.99251174926758,53.02132756869173,52.61313582378596,52.81483190453855,73274800
2019-09-18,53.48954391479492,53.508753239988586,52.6899736146539,53.07895237436418,101360000
2019-09-19,53.054935455322266,53.72724341657254,52.91326716138404,53.307049108889316,88242400
2019-09-20,52.27937698364258,53.43911377467882,52.216949430695024,53.15578449922015,221652400
2019-09-23,52.517086029052734,52.78600921665871,52.260165462190585,52.57231054140675,76662000
2019-09-24,52.26737976074219,53.42231716904428,52.1497276727192,53.07175336927151,124763200
2019-09-25,53.071754455566406,53.18460696208919,52.1377224527618,52.47627997233017,87613600
2019-09-26,52.79801940917969,53.05013674812319,52.543502278670516,52.824431771617654,75334000
2019-09-27,52.54109573364258,53.05493317554915,52.17132270704049,52.95408332189153,101408000
2019-09-30,53.777679443359375,53.924147350243985,53.01412429579234,53.04053666142086,103909600
2019-10-01,53.92654037475586,54.798144667313224,53.832897210879736,54.04179631783716,139223200
2019-10-02,52.574710845947266,53.684022592147706,52.32739312326195,53.559163835182936,138449200
2019-10-03,53.021324157714844,53.054939558377036,51.65509168829448,52.44745522730388,114426000
2019-10-04,54.507606506347656,54.622862444828854,53.75846122523863,54.17865555013315,138478800
2019-10-07,54.51961135864258,55.208728860944525,54.22667560102354,54.32992525189106,122306000
2019-10-08,53.88092041015625,54.75972776925968,53.8641145411307,54.221881339577685,111820000
2019-10-09,54.512420654296875,54.69490376434556,54.17866638461821,54.512420654296875,74770400
2019-10-10,55.24714660644531,55.331186933368876,54.577238437627656,54.728505896765036,113013600
2019-10-11,56.716636657714844,57.059993724351415,55.78020129962542,55.93387223570824,166795600
2019-10-14,56.634986877441406,57.17764014436274,56.346854377235516,56.40207888768913,96427600
2019-10-15,56.5029296875,57.06238516671115,56.39728024743835,56.75984658601028,87360000
2019-10-16,56.27483367919922,56.48373281401713,55.99390415010381,56.03472259479586,73903200
2019-10-17,56.493324279785156,56.70221970877233,56.07073017522385,56.44770259671815,67585200
2019-10-18,56.76465606689453,57.04558556492881,56.255618132854494,56.327652182971896,97433600
2019-10-21,57.749107360839844,57.864363302867055,56.983156188347394,57.03117766562347,87247200
2019-10-22,57.61704635620117,58.15489273709962,57.535405818697356,57.905178869368726,82293600
2019-10-23,58.39021682739258,58.40462657130632,57.919601112741944,58.130900057820426,75828800
